Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
ec339299-5d5e-41ff-a5fd-e63640c30cee,2019-12-07 12:50:57,Running,,2.97,16:55,5:42,10.53,227.0,20,,"","",2019-12-07-125057.gpx
e9a4149c-e5ee-43d2-a4cd-be8a451d5e6e,2019-12-02 12:36:12,Running,,2.12,11:06,5:15,11.44,164.0,17,,"","",2019-12-02-123612.gpx
157db43d-5112-4e6d-8d60-cbd04af8f204,2019-11-29 13:23:24,Running,,2.49,13:39,5:30,10.92,190.0,20,,"","",2019-11-29-132324.gpx
5ef01e64-37b2-4e45-ad67-21f80d505707,2019-11-26 14:54:22,Running,,2.41,13:21,5:32,10.84,185.0,15,,"","",2019-11-26-145422.gpx
bacecd25-38bb-458d-8cbb-a4025fd4ec9f,2019-11-24 14:15:34,Running,,1.04,5:09,4:57,12.11,82.0,13,,"","",2019-11-24-141534.gpx
817d2bd6-ca7a-425c-b7ee-49648473fa70,2019-11-20 15:02:59,Running,,3.01,16:49,5:36,10.73,232.0,22,,"","",2019-11-20-150259.gpx
62e71eb9-624a-46b4-866c-c59af78e89ee,2019-11-14 13:13:24,Running,,3.35,18:39,5:35,10.76,260.0,30,,"","",2019-11-14-131324.gpx
5fccdcb7-d2b1-48a8-b8bc-020e215100df,2019-11-13 14:50:28,Running,,4.87,26:09,5:22,11.16,372.0,28,,"","",2019-11-13-145028.gpx
a8da60a4-7317-40de-8af5-88c5944f99a9,2019-11-12 16:20:22,Running,,0.92,5:26,5:55,10.13,70.0,5,,"","",2019-11-12-162022.gpx
a2168859-ca39-437c-9fc6-2dd16e833d3c,2019-11-12 16:05:08,Running,,1.96,9:18,4:46,12.61,152.0,17,,"","",2019-11-12-160508.gpx
c8ac84c4-a995-4059-9b98-cefa3ca71ee1,2019-11-11 15:45:37,Running,,3.53,19:13,5:27,11.02,271.0,23,,"","",2019-11-11-154537.gpx
